actual,predicted
109121,8486.92420322
6642,5550.65347302
433,532.054376329
612,2423.63837185
799,5796.51465453
299,1720.24781159
1115,1235.5473095
401,2241.30493813
2493,2029.36334738
34662,8097.19046495
734,4486.92312744
342,1029.72191105
414,7273.33810365
846,639.103538545
37461461,5063.28839998
679,1627.22604968
247,1269.49856549
560,6281.64330301
28484,4647.43330062
1019863,8724.58856527
265,1515.42812567
31059,2480.05396127
1603,1955.51461079
15040,4043.96483857
3205,1091.34815572
72561,1442.83508011
158,12904.0044145
1260,2114.13550098
806,1032.21842105
3238,1598.51145324
25520408,12177.3176204
705,440.344645858
103095,10712.6704032
209,868.730565786
2170,1308.73330498
18593,4448.17181745
4126,1819.11169486
148755,13763.8317434
1991,1677.38029964
1029,1054.91642611
2863,1833.20927464
39936,8228.36457854
1180,5807.0222702
865,6850.28458951
170180,3759.33810238
514,330.16702544
13207,4605.9689631
799,1329.21374039
165,1437.90909129
2312955,3842.43481192
376,3312.78389932
667,1713.38896965
5468,7299.48439157
19909,6681.38854486
774,1828.38352552
4675,7829.216952
351,1233.43648966
1526,3447.34008069
242896,12046.4700267
5074,786.95537064
222,2276.63450094
240146,2844.32566931
292880,8852.64085366
1388,4873.06504682
39041,12941.7257404
1147,1227.70519377
183,5230.23269937
3954,5137.87965963
7013,9263.07009205
9419,2093.91086474
117,2455.20269616
1420,2421.19061526
74655,2775.09467786
2954,3656.57090549
9646,2003.875275
2709,16830.4518174
95972,4674.08450673
825,1360.94257502
3322,5364.37750349
1064,3837.59838731
87873936,3223.29332605
85,331.249122517
525,3560.88810045
969,5937.93698825
752,6889.91064598
1039,864.803501586
228,612.782465757
785,5456.07333762
1550,1248.4974349
223,1550.59096104
14730,1578.60907773
11167,3342.50238908
1282736,5500.74314659
1851,4852.62588704
116,572.485264304
1428,2861.06335323
303549,6617.73754968
8244,1505.36490902
1040,3382.86153516
1871,6115.20119217
5969771,2018.84780994
1798,1426.06278118
3810,4415.27636551
12850,8501.97996219
1015,631.315159579
84616,513.800849456
58,2296.66873679
62458,1385.94294504
2373,2731.19776408
323,761.849211102
255713,5428.16966664
3668701,5220.16684919
3366,1025.54640131
