actual,predicted
1310,2280.26918963
6187,5101.9231861
112046,5740.33256047
1903,1014.52481893
258,-395.230145805
6297,2637.43069523
5427,2615.16847252
5664,7351.20401427
73616,14167.1715585
557,298.964335384
15796350,875.864460321
238002,3355.05711232
47324,1853.81357782
4293340,1401.43467802
895,814.856943877
1086,5438.49653476
413,4477.73068823
143,3442.01410467
139,981.649976435
131,1625.85645089
16155,8948.81714924
340119,2707.75563694
1155,3660.4628457
411,1325.98431697
1067,3692.61617581
268,2626.24771282
550436,5062.20749596
422,655.521263832
7355,6994.68345624
49333,1680.12149337
3639,1944.42141403
17153,7942.95783812
386,1314.68053208
176,147.325469886
0,3694.64013423
3862,4286.65152819
403,1714.30052705
1411,3460.84098549
37112,1282.75498939
719,-512.799686932
468,596.0129951
129565039,1379.05277574
664,1527.74488988
20025,2345.78558685
2300,6721.43389219
1054,2010.08058807
156228,4248.90665823
2512,2079.84875248
939,2101.05586992
3068,300.205325065
140,823.360274021
380,9818.58023976
13132,7768.28433202
124,1103.02444047
922,6291.38929294
14393,1712.07276234
516926,1039.27220252
756,298.968190913
897,3387.75869245
533,509.813218408
84489,1573.1466423
672,1076.23456139
158681,10546.9678763
208,2553.96748943
3676,659.29520155
25720,2434.57471841
188383,10128.0034132
386,8488.76024991
8828,268.254496932
595,2704.24709444
1544,2679.16335197
2151,3988.32675868
700,2749.01833467
1837,1172.59664457
188,4362.88655526
286,6732.12218678
702,941.105533659
1167,2388.02143116
529,2644.52772395
17355,3183.45943779
531,2110.31035667
558,9318.4257259
310,770.929859017
1004542,9401.15505211
8248,-161.474800355
939699,10201.9337029
97244,2331.8008589
588,5248.01148672
1497,1145.55062584
1416,779.197239699
1634,4124.77632281
405,6085.18430051
45890,1721.60591963
1641,3582.41995476
424751,1614.65941856
247186,1498.47269206
383,274.412352059
2116,3133.43923283
149793,7668.80763022
863,959.577410222
531,6542.4813217
285,3298.97654799
68654,9921.30096692
34598,7496.73696605
37865,5373.1048532
288,8903.35627601
103,1990.69090383
2763,3226.51972987
1370,1620.32541921
358,605.730225706
1206,4099.75340176
12985,5163.91001321
1144,716.314623081
2500,1406.52909857
329337,7764.77531302
3941,885.752956411
255535,3876.93915324
44,1201.96436234
1039,321.360072948
254,743.529664584
20245,2127.76914956
663,883.524455816
4946,8238.09107245
355,2132.77397439
148975,10474.8492864
1263,1616.96894764
282,212.493971068
1987,1411.94244637
10962,3895.19141668
35943716,3874.30085176
603,4428.78114181
459,5165.97194765
151,2088.61398058
2611,1147.82216646
147264,2382.14044087
7104,2947.31534544
36253,8368.67974084
367,5966.77904493
1878,1785.53108759
39708,8146.01353325
11379,1994.23061679
1218,2121.1793825
756,689.107458842
730,1075.77010062
467,664.234856231
1430,4597.50931497
540791,1434.32295955
462,2137.13811767
1305,4104.80841728
2454991,2776.30651739
14398,2690.51254443
667,680.978912496
277761,249.41763252
603,1021.66112419
1334,3472.27862558
2497,1474.26207697
154837,3466.88300733
9281,21367.1933579
26163,2172.72477446
1284941,5930.74690533
405,5825.59612187
1117,1843.53727566
8162,2222.36876172
530,4690.83526218
977,-227.762387953
4491,-190.41866965
68891,3116.00548659
8027666,6070.70562074
13321919,716.354900183
1314,1338.42275756
1976,2873.53340035
944,934.64975549
621,5642.66442964
2272,285.245962303
921,1164.58567251
20122,5420.42983505
37625420,4136.86387965
230,2716.66346006
643,944.412836296
148,5346.09849432
294,1013.26687885
90498,4611.22525708
2800,3415.54839784
104,50.0027201522
170051,3601.95883323
795,1056.58108476
4861,1489.63229448
488,1252.70180301
4989,632.95149321
5821,2399.50116731
507,2765.94529941
588,1256.71403265
560,268.800652149
2912,4273.42389086
6161,3009.54068546
67749,5288.07743909
9042,2199.01491461
1304,2290.17749469
3572,1958.00141666
2092,3296.65779748
12216,1226.6819804
385,12188.3521075
1066,3530.23476213
107,715.86823188
191,1343.39840527
1714957,2058.97784593
9347,16311.737396
9105,1144.7552963
360,843.503388217
37149,4921.34067173
12945,3776.89722872
19785,5412.07581889
642,9942.70609661
513,3387.71010839
2226,10605.4491477
888,1472.42143672
52,1230.45836796
1049,4047.31058705
856,4229.42847624
330,3358.04600683
68,562.810642261
76710,1949.27251443
79869,7095.86413137
4256937,5782.42880516
0,2084.76401843
609273,2602.45287976
203,800.059898879
292,1020.75741935
323,1814.63565437
2553,10323.2541082
8466,3411.152697
1511,1306.59716065
743,1397.54799994
1953,3965.73103381
15327,8029.55768017
104,3360.54837765
253,2823.20671321
28169,7161.71612525
181,1260.94063996
362,3159.53860054
32608709,6397.37728363
683,4482.1866587
961,4264.46625572
1444,7626.45627444
1332492,1599.37137305
8729,6013.41130533
15879,5798.32571873
2909,1434.61433343
287,2308.58780883
723163,4719.03998796
732,1148.75836035
