actual,predicted
153035,5042.13113648
32759,2145.63591377
206,1844.54202072
88476,7657.79416843
14854,1814.27256799
32900,3089.88920824
1278,1616.007208
1859,-229.950669378
87133,4869.75079009
5691135,3904.30051599
158,172.89799965
412,1646.39798973
536,2364.47441875
732,4183.7359098
384,504.745049913
146,1153.27047486
1715,9090.19330434
725,1701.47770948
13457,4994.80137912
17388,4783.6803075
1078,5299.95183703
8242,2390.12823016
7269,3259.30487098
247,1747.68320606
5517,4808.69446542
266,2837.28176255
86,478.97246704
3313521,3753.98161546
4149,251.93709232
63343,6644.77786958
352,849.235222013
5400,9364.13787082
31196,8621.56425272
54524,16636.3812071
40817,1368.66730989
684,-218.914927288
954,2911.35857593
1432,2429.12216261
919,5330.11348257
54035,3374.59073968
104,1019.00258737
4035,1339.71135645
1085,4099.80621202
1019,11173.2835042
30635,8343.72092043
812,332.471391428
733,6103.10233985
8752085,11191.5534294
718,851.638995278
241672,4483.29218735
4699,1262.51107622
1620,996.448783428
1742,2487.07502528
1451,865.430093539
145,527.73046269
56291385,3579.48638465
35893,3688.33018304
242,2604.45931298
11853,2361.73964991
80466,3696.40069378
684,1289.3827691
129,1882.17147018
472,2069.63896688
1075,4239.08936645
9235,9554.12095883
6660,6782.49521399
408,1973.7498352
1765,3377.02366131
475574,8581.59067236
601,7800.45557335
5997,1212.91207975
1487,1816.57812439
76235,3509.20979147
538,2966.90577275
1163,905.655416425
1496,1139.55891172
40253,2640.90481174
2074,1735.60139787
70658,2246.41130303
220,595.663239021
4666,3075.69182498
10633,596.492563922
253,802.782239336
10180,4467.38687707
6399,9582.64573661
791,1755.39644991
59935,3248.57822985
10887,8318.25990861
5556,4541.07298256
1208,7310.56565145
442,1118.29749845
1321,2457.19284609
133965,8057.32766947
305,3853.53348042
188,1577.07337573
4228,5541.85736636
627,2141.28245146
389,1628.44054521
381,1654.96808419
50488,4232.42397308
1033231,4113.89331107
19082,6095.8107124
4041,1205.61168236
15407,3375.18760219
499,2955.22103745
687,540.860470135
3268388,13316.4716303
327,457.292450417
442,5295.35480186
218028,3985.43306231
118522,6876.5107963
783,1312.91558036
542,6582.54938284
4597,912.664570318
289,1224.34633804
1224,3741.28258334
5949,1971.40715462
20662,9194.02044927
210,4613.05507311
872,1202.41652038
3032,5723.44744799
30180618,2572.13904385
787,13129.6512908
77134,2938.6726397
7605,10901.0945129
4838,2573.33699739
301,2478.21944125
17707,2187.34880855
271,831.488343626
962,1372.6809689
7154,4980.53192359
555,1069.02687852
11321,1256.65422668
3020,4633.34330505
922,1325.35687112
39734,5821.04840638
624,1510.98351585
1489,3134.04964449
131,-440.603691756
1363,2436.39616263
2397,674.077747781
15733,3961.25493409
740,667.041989272
272,2287.43529439
168100,6159.98686477
2914,516.273489538
5068,3607.08427363
771778,1278.80992656
924,1022.16428944
2300,338.933851349
199,196.346353419
4192,1088.22007981
224,2366.52810789
506679,17877.3789522
475,1192.65285298
1952,485.286326235
905,1485.66678702
3039,2304.67109775
583,2423.83760839
1125,3890.98419095
190,1327.43891924
76,731.06310836
1210,531.513555297
2654,1338.79506018
952,5829.96430872
1113940,7162.69209443
102,293.363084424
415,5661.98143258
249,1736.68835945
620,4224.12928643
364879,9499.52837407
68743,1846.2839018
19241,5134.62746406
859,1586.5237855
442,1380.13198867
571484,2120.81716699
58576873,3836.44472814
111,1594.71266893
15327,13113.8651056
204,1835.92646451
289,3379.53258044
960,6211.80739908
281,1655.16673524
25074,18291.3433754
364,1398.11684739
814,2590.68168863
526,1571.19596907
756,3390.68328047
78592,1708.11008489
3038,6418.06623513
91021994,2501.02436066
330,523.575404025
16100,7711.21328938
163217,1337.4992266
915,1232.5423776
474,2609.61495484
436,1599.71518975
48692,6538.28937878
143,661.590790607
989,1353.84153045
868,836.414708585
511,1249.81061029
1121002,9302.43018426
22395621,7971.49668936
911,2659.5829421
1567832,1826.93119964
518,5159.8813489
14728,10072.8706974
313,5447.35967369
1762,679.984862904
985,1192.52517771
7266,1453.7435645
110,-196.573664135
9371,902.384960342
1921,3456.4119871
125,1108.81887101
237854,7126.45863794
185,3953.000729
301,3666.57927427
449,9775.86794889
816,2228.38993988
24656,1235.36637013
865,4965.16620324
2618,6478.77073166
606,317.140560027
384,823.080497822
211,-336.825357624
1121,6721.49153634
178,1396.34537708
14420,12932.4844536
8025,6143.82550865
125976,3366.99192674
1208,781.297390682
366,3464.30020382
73,4288.45103808
154840,20793.0787441
53,1464.84018256
80,1244.82961092
11196,1708.50240356
20605,2409.47272409
1442,1453.97818489
726,3644.23539024
240,2720.37497217
1842,3099.0504008
335,911.423531766
336493,17483.5221848
1271,653.392387648
2669,2934.79325435
16486848,7674.16817672
2710,22784.2565005
450,1897.36686331
7109,12209.7706655
2594,5720.3937087
350,1024.01711895
117,3733.10237644
72,969.926891604
275,1405.75807646
420,2052.1752495
9936,2421.09888208
614,2832.03378557
1673,557.331232841
1123,791.167083701
6403,5310.12756888
3362,6611.94698197
6211,4002.98087576
22139,7345.8917982
113,256.204486488
79113,5995.86808616
7395,6925.92458532
77380,1779.18229237
1333,2217.8377157
762,3265.17628082
451,31.8486206906
10848,4797.67549993
1031,570.673665752
16987,3782.27610964
1207,1557.41379312
237,762.530959386
181,1557.79128669
2256,542.049048682
690,987.321515159
3792,2173.63485627
116,2973.96881447
1861,1344.8405613
1678,3055.45153833
871812,3218.34714591
763,1379.26150752
153,326.744742269
426,5734.51346013
1768,9794.95670716
173,1158.88793496
4764,9322.58096836
2110,6399.51381748
7701,1745.38760112
7073,1642.02076578
61788,11906.2880017
88998,1001.44090046
1719,1534.19414613
1830,1317.9383438
936,587.640028635
120,754.672528585
196,949.726413665
16558,542.274088585
551,5940.12953672
145,577.774370632
179,1407.64378102
16031,1173.4767631
39396,2607.6959456
445,1374.24598303
10427,8861.79548075
2830,1559.28701939
1512,2295.63720032
379,1032.38872589
1519,8513.31038125
105,988.276471758
10998,1241.82972501
243942,4569.16626011
8472,8412.0282533
163001,8163.91335827
620,4078.67224916
2436,2014.30008654
1861,1968.40757736
150,2116.93847195
188,287.832437006
1033,2255.96203891
4685,7370.94419294
4654,1598.50517039
71655,4211.55326229
467,1562.35858627
110,365.750112694
463123,3300.69152668
144,1301.22403068
6645,3077.18479905
263648,2635.11433491
749,1313.82005791
2602,4733.28339565
269,922.474253777
148,920.998171498
562,6561.52486415
131,1559.1036844
3011,3369.82819031
603491,8119.53782597
258,745.644092159
1175,10340.0479907
293,2058.53584913
6793,1990.50322924
1048,1695.02544025
514261,8125.8351739
3757,1245.35945462
260,1316.7006765
3142,10519.2901427
925,816.084511731
15978,8131.45424104
146919,3133.18914839
604,2538.30229499
3791,15663.1746778
306,907.802921675
539,1423.84814265
380,16006.0136334
5423,1597.33768145
1877,2602.1691934
79950,11219.8994712
1105,2130.12180763
32553,4785.85313022
1113,1940.09863848
1111,913.854327807
3995148,1096.70641428
496,2432.21299888
9134,3535.59641065
51880,9008.62694644
431,100.851852538
3397,2002.80902736
26935,3201.86679869
501737,3702.10559408
661890,3701.28897177
238439,1823.06394128
1350,1136.38543416
63411,2782.18129528
5620,1016.0256338
149139,13657.5680358
1147,2327.53371823
7391,34683.9090103
9506,1935.29519755
81694,5502.49494215
108340,7456.0790752
28892,14060.7510231
68130,11326.0130035
1235,693.499551051
581,2072.95230296
2543,8007.46215964
27560,1495.78463095
1660,565.20221697
6136116,8025.53306363
12170,1914.83002866
237,2354.95498181
7487,8624.62763868
1787,4363.95513567
1751,2025.10167488
18138,14694.6955608
31572,3656.18712809
2324,2528.68561774
1665,1352.96945427
22224,3601.21368919
971,2862.40136005
257,330.608004045
128026,3616.31691953
2027575,28722.279418
141,889.475735222
93,4941.64980774
50081,5409.2449398
322,1097.48841012
147,1602.73366385
4400,1089.27894161
1071,10090.7873807
138798,758.486966804
527,4512.68464467
81510,4062.98460183
1042,2985.61806663
451,1128.97829757
1693,8011.78279132
5442972,3676.45637918
3029,9953.37328019
872,3866.93964306
797,4718.86247659
3712,3771.57214038
19553,1737.01124272
823,2229.20953278
1938,5735.20855318
1842,2785.64295879
268185,2960.32413712
2356,8213.55938386
1889,4867.45695149
461,2177.94960962
406533,5596.27776135
4377,3613.19036233
1287,4964.80870263
1949,2007.36018094
38058187,2571.21347376
379,644.761613625
2131,1867.7061841
21854,8425.32433806
670,1554.37200351
1044,2922.15063654
745,4359.14126931
92078,2466.26573984
342507,7983.73411146
2629,4065.48444948
1102,2219.13492359
4863,6177.54106145
518,740.180311777
1347,546.314911837
285776,4273.58195236
2452,12083.3343801
260,5873.31881541
922101,1990.26137325
67170,5537.56338614
16080,6034.20603533
1281,5455.54783043
333102,2387.67039777
1071,857.269041404
1268,2004.96555851
1985,3645.14511308
742,4347.77634008
32461,22975.4899733
4570,2727.57595895
7016,8294.0806136
352679,1646.6897361
656,1095.49885474
2798,11829.8259533
156219,6363.57513327
2254,1591.41579607
1378,4558.01220824
181,1417.06897758
6390,5478.26681137
1631,1618.49096969
235791,2145.42462917
459,808.32125957
326,743.381486676
411,1100.97628972
6748,1302.93034073
2597,6623.70850015
560,1791.35197606
34206,2557.74928043
117,545.150311206
641,1552.52974195
1524,1800.26048839
9521,4408.00980306
301,996.788516037
3219,8094.18309035
2195,1848.6304771
278,521.303435712
511,498.140098786
60487672,1843.50255171
328,3812.48831904
271,4113.7868214
70175,5456.18488483
1246,1757.22970029
118,3575.93186242
61986,2723.18908632
219,1013.77772204
10473,9583.76730205
524,631.736538523
3471392,6043.81982866
36060,4134.3500568
591,-152.45259861
923,2497.82264671
6330,5201.52927535
139,1194.15409397
8388574,6671.71533597
2041,4869.44680365
487,1864.69494263
1310,4906.34017735
1909,1571.65382724
469,1028.73792416
385,6203.53703284
838,860.811205106
7295994,8080.69456629
629248,8078.34769998
224,343.942682292
231,2178.11739299
825407,3296.30356047
1035,593.263814877
405,619.730190982
358,6488.34861449
79500,4302.44989354
233,729.81506998
742,2297.78157318
210,3134.72727948
3160,977.680236688
9498,5093.99964203
3373,936.917492373
947,1253.40178238
156388378,515.891414101
53129,8111.96559129
11613,8945.95287531
1514,1791.1161051
1336,8782.02947548
6364,3026.58299765
143,1212.15657639
2794,1549.42254809
84772,2805.69245234
668,4205.45556518
10995,4342.15640413
1139,6537.00352695
729,1077.06564367
829,3797.45928528
229,1020.54452071
3012,2653.12407328
554,920.887333753
31030,3288.92266935
488,6418.36011107
1524,3414.65706167
33541,3016.33554751
3067,535.842934253
320,1795.57240848
159,114.385068225
6589,4815.28844034
75271,3457.99496564
4391,1234.15277503
460121,2624.43529066
3256,3429.45533209
144,-347.142108104
588,1884.0280657
31197,8658.38815542
4940220,10809.3178083
3730,603.087260098
17709,2801.30774682
29121,3235.33803161
194997,1179.71070636
418,1424.73110623
9404,10671.5017716
8509,6583.53397585
1997343,7468.08765434
238,294.864174613
808,2307.29879236
249,2628.84962364
384,412.225014065
423,320.982848489
3556,1836.35238698
916,3201.71950788
483,695.598997764
7740,6475.86937414
7744,4323.08633167
1877,6313.0116996
4263,4399.86804234
721,889.196610985
2307,936.190143045
411,1498.06481683
2898,7500.18281852
769,1476.64281629
467,679.876334804
482,511.75997808
682,1872.23021152
252,1566.58371252
89093,6553.16677229
4507,6485.1061461
535704,5900.19251091
947549,233.254617118
2711,2309.78739126
828,480.696568565
6031,1548.64745374
1105,10357.0211546
4075,880.780968134
4980,1622.49848371
602,2727.52456218
52779,5599.3801771
412,6845.35796041
919,1312.42176336
2706,-485.602968908
585,866.635754478
6495,1297.32800861
23371,1348.05526114
6386176,16403.6603165
1261,929.181414038
191587,2383.43105269
135,6790.24214595
78667,1725.08861168
726147,5068.74260458
443,1750.95709575
528,6653.77856568
1694,852.040817101
120,1785.98791468
8791,17555.624079
5560,899.066986873
3604,5814.78953587
439,999.149388115
5624,962.38917181
2848,461.711496022
38193,542.147439975
12414,7097.26703913
183306,5996.01747965
195272,4376.42725457
1107,998.197953074
343229,12254.8696646
1538,5777.19534879
12712533,1703.56590488
256,2433.96977971
190,508.416239935
52,718.419739428
281,923.695737622
387,1438.16906095
492,834.792039446
3104,2468.9868524
13438,449.725933744
84032,19373.6162436
234,1876.61475158
70621,2572.462175
6466,6719.10665623
939,1583.63851954
8196,1546.14465287
801,2233.70694549
32529,4046.77727749
1170,6455.86398645
3518,1770.94530318
97,605.1539096
1774,2912.56872509
6050,8305.20516911
23342,5379.2850178
4148,2229.48130631
404189,5625.11185769
635,1320.62765092
955,1412.89677916
1869185,9165.55883127
4340,3490.98287695
412793,4688.87848683
27333,3669.26348381
3645082,5616.63823759
8406,435.083991992
372,5810.60065162
2684939,2070.52604668
178,10865.3855612
3115,4093.11543576
132,774.017184259
295,2699.15483981
612,1140.05965285
4055,2773.33032855
49362,1149.77796636
1368,2694.62041033
29733,2431.52794435
940,824.830552235
970,2911.45837933
146,1260.70333731
987,1447.26643017
329,293.253770208
215,1495.52423475
730420,1706.05337708
98782274,6334.47304499
224,1527.89029489
1890,1251.05497125
208,890.386061513
250,858.890938309
3417,10974.2610571
1359,1120.56980712
730,673.250157989
3596,3905.76084111
8396,18362.1288982
377,5631.78664567
7290,2597.28451496
315,7336.27709495
506,1076.0299226
2334638,1034.44015065
86716,1847.13271932
1033,1177.95240976
487,1091.94013792
12857,1970.74950895
279,771.396933264
471,1040.09286091
1037770,795.433107841
5252,2790.66078232
90,681.794001695
6037,5504.02924781
953,1830.35291336
970,207.2710252
86167,5451.71657579
5290,1917.7696126
183,6586.03448282
23628,656.035591032
1797,5901.74974368
6686,1867.47646032
640,1844.28672309
501,8242.10389693
404,2346.60306973
164532,2570.64512033
241665,4848.9501131
2257,556.155238871
218,931.212173357
11073,1834.34267478
24032326,28866.1543302
440,1274.70975295
2071,969.27121159
862,3966.92054577
171,1280.72828291
13486,4543.62948562
352,2601.30445269
63084,4205.76906134
1899,3100.07619188
3333630,7375.22256538
364,2548.40820268
510,326.012776799
14510,3878.98094539
552,1172.53459982
15651524,7602.40107178
142,1432.41922804
4089,2701.42342707
3330,1465.81200667
442,-156.073141017
3510,1832.50079876
4168,3871.66018344
487,2732.25084699
385968,3254.80279774
21642,15504.8619286
739682,21219.3689065
2076,1614.2019397
3144,8330.3141501
35743,24966.4355378
67081,1434.95810332
861,9060.27710111
746,1379.49705476
9473,1297.59766853
1099,5962.22319537
6182,3760.54288551
280543,2381.9139592
430,1265.78578599
255199,8065.61198963
112233,1524.42627949
11605,742.411632031
796,550.984277165
5103,10930.8486942
1899,5509.28989978
276822,4950.38431889
1039,757.72351037
417,411.335837105
2333,1000.35992555
9043,2712.92171237
19306,1989.92721597
300,838.286810556
906,272.622067815
758,3889.72253862
6774,2563.46168362
48546,16697.547789
100294,5671.76436833
429,3222.1951884
65471,17841.9437741
589,3621.28963303
293,1131.92989748
1071,1828.33636641
1063,1038.03623772
704,414.196753808
7961584,14565.7766147
259,988.379798655
607714,4470.25856386
519,4045.89037639
226520,8233.78760643
26714,2563.38904055
528,1821.95580503
6669,1253.42302669
44266,16095.5636909
330,9214.5217942
611,2131.62077147
377512,10211.4702908
5991,3970.81905762
231956,957.932159157
4229,2855.03428126
2907,1133.25821917
24324,2890.05989917
13478229,1876.60518998
156,1429.12500964
3527,6205.07165409
9634,6479.05688338
735,2536.9138536
41482,5967.16430281
933,2676.33173818
15134,8032.22014056
131,752.509814442
230,1363.11507167
351,4252.70916382
69117,6487.1814392
90106552,12649.167074
4731,3775.40566472
7922,2928.06758223
1050,1346.44073305
78763,501.250394636
1525,2831.66578165
1235,1304.99319734
1463,1981.37881922
1616,3605.67592406
3704,4433.48040571
230,1728.31069513
1401,3644.28886967
826,3952.06748963
44539,2466.653462
7373,3802.77412246
141,637.567115367
140,601.965098124
501,1876.52073913
2494,2099.69442427
189,-751.755170628
519,2083.28721991
8385,2689.18341072
714,2491.24369088
134,805.522484509
21606,2858.78616557
3921,5056.70918027
8276,3395.91336799
637,2265.53550579
237,1017.52763456
503,252.118967911
191,693.101128853
