actual,predicted
479,958.27985209
1409,3281.08361509
2141,1126.25095995
4162319,5454.88904127
1449,4798.5923325
1335,2443.23264892
756,5813.01408234
1206,2276.95848377
463,1914.56221923
547,2069.64755139
40506792,3648.7271769
2591,10380.7010715
856406,12725.8657858
475,17058.9559688
29533846,9620.85614189
199,4009.93212521
445,3867.41161783
300267,16339.9860496
11820651,3392.56563004
272,8636.60840295
1268,2888.68528668
79833,5865.59882268
1783,1029.5092503
503506,1970.99107944
600,1361.05303256
48535,1948.40100723
736655,9852.28130251
421,68.1348642204
4226,2509.54751914
12672876,2289.6179322
868,1420.81136537
304,1668.128362
29985716,3544.1915851
656,1710.50257192
1137,8520.56175332
1210819,11223.2801938
224,2554.5332986
85197,5377.25326945
834,15498.6860812
1047943,2871.89253621
31337,1682.59823866
1883,1507.17249587
4057,3610.10379791
91,4871.358553
13740,9519.49253204
178779,6133.88208413
1311,203.18732448
665,-150.861514113
147,2763.22660699
383,1466.01821328
547629,2283.34398442
155,752.466798907
841,841.657955273
14420,8926.96567654
298,3141.76606948
1084,3419.57625019
1084,7806.18136422
6997,2757.25677128
1002,2121.66224855
1007,1156.967388
926,447.996616118
204,707.206183964
112531,13743.6733095
401,702.445821044
18642,4127.85800325
163,3976.67150476
466,4400.94675405
335,-6.31163297814
77730,18715.4299354
18681,4237.95438037
335,5135.83447112
38937,3553.08149015
33941,2468.57598664
2171,6085.85267346
462378,1344.56960198
734,3129.06200311
440,991.61586522
531,1355.97694653
342,1256.11632558
11427,889.998309086
234700,12953.3797019
316,2931.0656335
199,1939.35424847
446,3158.94967286
125,4264.99646705
799,2874.39579218
679,213.304393253
1076,5892.45004022
132,-667.32276291
5512,665.048867302
21664,10201.4331348
175,8819.94669049
12727,7327.59118175
786,1369.80957351
3841,2423.88924738
357,712.038691505
176284,9594.60494466
1220,1624.89799013
125,1006.44549915
266,3714.35830409
252,91.2039936495
134,1433.62795776
2427284,16064.0740434
3666,2724.58963212
1305,1990.99452228
2869,2773.24171175
49,6431.22727777
24524,767.891125401
189,608.527137426
281,1210.07664852
150200,764.469201231
99465,5959.20704967
53590,1960.14540962
280217,7546.29301807
3461,1388.2089183
1395,1532.76432932
240,710.924398665
6030,8246.47891179
14203,3650.2636366
344,2103.43638864
38112,3067.39505797
27863,4400.90419503
585,7785.4782474
5640492,8259.89050987
853,864.566748453
659,365.403536471
1517,3890.69241248
18467,8795.9911031
2370,2384.21563713
85005,2344.52102806
330,5907.21583324
567,1451.480444
882,2256.29488452
405,1097.5117013
418,3359.23964229
35120,1682.23767819
557,2039.64139678
121,2928.99038622
5744,6174.63723861
74896,8788.04256764
235,3921.94242812
0,3686.71353666
405,13533.0492674
74330,1249.54666732
0,9515.76600441
94022,1313.87927476
0,4710.06430376
1320,333.239944946
514,887.066232427
955,5145.79854827
3327,9175.75995026
92241,266.625724346
530,620.656774297
336,1989.90582901
38707,5683.54188658
17181681,5972.44800719
177,2392.09241861
542,5350.29692792
2182,6208.6384577
1011,1875.86680821
1915,1965.89116544
228,1224.92234728
7210,6893.21195
1122,1923.28634048
312,0.903907869244
163,407.44216495
129,331.2120016
407,3312.70238595
1262,2679.56100573
627,-327.696236993
66898,10386.0029709
1613,683.680634554
2634,2432.95937845
418,1400.86796395
1075,1279.51760066
1608,2982.45328841
1149,1321.17579866
1929,2721.79089791
2409,1342.35450436
795,222.480902533
27180,13169.29889
2078,1054.07829172
134,4251.74126577
1881,1927.33768399
1120,4436.08599962
6470,2171.2444166
4731,6371.82484289
722,2059.14746312
3191484,9148.1843974
193,918.811445618
196,2422.01279367
264,693.564332283
18435,1275.75385348
11126,3167.78350518
246,3789.43440651
627,966.5689401
17466,10112.4366483
555,2227.60926662
22130,1038.42542372
214,873.590539093
10324,4983.7402018
407221,14850.8553573
800,1842.08867208
83079,3349.80170895
10182,2526.98854753
68727,2115.53538932
5170,15819.2239595
329,8916.92108941
8504,1988.26828621
3415,6994.00552078
472,2544.74216616
160034,9947.27698014
266,817.4811298
552,2501.69930246
1195,15131.9738922
331,1984.62417308
11655,1213.83055674
232,3510.34203942
12954,3911.66697133
74759486,4972.3999502
1675423,18418.9370517
1559,10350.8223816
1065,3322.47653109
876,5750.5528071
757,473.236775904
1797,34.5951642818
861,1909.45277162
38179,11643.4943983
753,3293.85898303
2823,835.868665339
981,262.325138448
501,987.295884241
2400567,3013.27637717
3063,1329.17558863
1880,4138.84669973
42196,5153.14059387
53291,7954.6118126
109,601.031432229
31499522,5218.39291354
1379,1934.16048441
267117,8203.35453851
609,2251.0780011
1112,1267.58765865
482,2357.85263265
300271,2672.34217935
206350,15386.0019561
2045,15329.0403061
12863,7831.1537379
117,547.784535712
593,2513.19677503
452,1071.15960212
46104,1595.42392809
1103,619.538600218
481,3289.08767571
14493,11061.9527786
406,1776.80597404
843,1120.14916852
171,5637.74911443
4288,3898.82892982
2680,2509.16895378
343,2324.62854227
