actual,predicted
253,1257.17187772
629,7133.67833621
10408,6008.47421299
190,823.399556714
1073,3994.5724239
888,13182.2739485
584,9488.14568683
973,1244.2660498
212,1673.92435317
390,2997.20293144
535,1517.85095973
1325,1753.88210396
325,1156.83869756
210,591.990179189
861,2930.84938876
213,1582.49219031
17648258,5568.62308719
99256,11627.606347
8364,2363.64172746
1382002,2826.40225024
4923,1495.84641086
268661,1493.03912676
360,2325.26877467
2253,345.003531409
653,7834.42680206
176,586.615436165
256,1144.19725979
593138,1397.42417694
329,1832.3910998
16592,14335.5626389
6607,2980.87400332
241,1723.30519621
1561,2187.77819427
3268,4039.33301101
3854,921.265219682
7884,2659.08597751
2678,450.964635386
347,4735.04674319
5295632,7982.85553173
591,1698.05177595
611106,2842.93720435
2893,2149.41227279
5615288,3423.42133736
7427,2465.8984425
892,-9.32115586584
1021,1858.76372312
241,2093.05916017
2382,5242.7457213
32028,7718.73718104
788145,1749.61712625
1875,1247.28598641
336998,1806.30476815
169,565.688945938
610,7184.02587854
16076,3324.18850023
97685,2922.91962341
17688,2072.45341294
2768,10915.0639055
1170,1479.92564655
75909,3408.15075504
284917,5399.83055451
2234,1808.33290712
513757,5800.55841703
80757,1657.56562695
219,734.137358909
325,2025.42587913
13963,9237.28287564
863,2237.41780916
36532,5233.01129626
147836,2380.41540163
1721,5641.68031714
126,1261.01860634
35533,9162.52196107
10511,722.112477857
402,1739.90202235
481,1898.75523988
108169,3862.40248992
308,1039.83056639
7220,1835.1636443
287548,8403.38922017
4993,2291.09694025
229,951.000134539
15994,2020.51243091
2706,1768.36675584
1276,2655.58149388
212,4187.72064167
43626,4223.00773577
349,3245.41692338
627,3452.42233594
440,-360.687195009
783,1915.01419608
60220,8989.16468611
752,5163.46464962
966,1064.23838972
2332,2112.61364571
63701,10154.8442489
617,-86.4582627082
6227,465.951563605
2136,1252.29849565
232,1016.62765959
899,433.140782557
22804418,4545.27082499
15161,4916.0583082
587,5426.9889685
3322,1738.105268
421,9913.42915319
50628,2766.25294791
44448,3155.00404705
538969,2068.30521916
1481,799.899603432
68699,3236.05454301
5462,1848.91112535
64573,1110.89176836
8298,1970.5078606
462,34.3738135575
2760,4825.47005726
4583,4104.0412291
5500,13392.5719663
76755,11279.3280923
3067,1043.72262513
770,890.473369797
58869,6974.37067091
2479,621.89390241
2514,4629.01995067
2895,2006.22922033
208350,1220.16251554
405,4882.16788903
25064,3201.64441406
5300,7007.92670921
133,1443.33237539
25509,4127.4116026
5102,1283.73216974
624,1300.7493589
228,1473.53121801
5491,792.319057912
793,1338.46268226
946,1800.59675516
2432,1911.28707089
227,835.399742277
546,1650.18612453
318,1152.56837782
227,255.235487274
1002,5365.44545437
1589,592.591316909
3284,475.727639375
850,440.857629104
282,1935.76515955
80792,4103.62619244
831,3241.60577407
7305,7113.589967
89790,2622.06080337
906,634.427896702
9415,5396.08486665
3187179,10212.9264135
1586,911.218733259
33974871,2095.10779926
2833,4107.61887018
9435,7757.67208184
551,3279.41614147
4501,5398.05837596
78897,11346.7759011
902780,14400.9453508
503,2849.10109939
441,2295.19498079
152,289.077636501
0,12678.9863723
266,1111.37690675
452614,2676.70322757
21250,9709.66885334
179,6913.9502478
228,629.785463688
1837,1141.28393571
24653,4839.73043591
272,544.126466626
38204,2824.76339624
632,6856.22787501
129,3420.96279127
649,4098.12524908
48,776.850747155
2536,2253.74211205
251,345.522677764
856,4137.56541172
3407,1267.77103155
557,4126.9842739
5174,2068.53992318
112,1408.91529307
8131,1333.74892013
798,267.992774628
1495,1328.74950423
973,596.05097949
392,647.651404961
8521,11483.0246555
315,1033.41099127
111,964.969770326
7806,3319.09546833
188328,1237.07560205
4830,2058.59002269
183051,524.738713061
62699,2873.97190399
314,533.056086352
252,5622.85540671
5820,1819.81333004
2506,1566.81305037
13478806,1444.14708616
405,1237.40510375
37260,2103.04207672
518,3054.91166647
782,1616.65084199
4667,6305.13877035
170,3266.58438761
7319,1004.03595406
44565,3007.22194183
2453,18481.3934223
18732,6353.3965459
96,2486.9330682
5653,2913.03205877
1523,936.821255519
597,1104.1731194
1652,1855.26989181
533,893.533496994
25002,1050.72840988
7171,4336.86702913
2260035,10254.1122642
8238,1307.26971514
242911,5171.26477146
1994,4057.80815803
830,9808.99153299
4934,9254.94458845
1073,1183.10610885
55227,17334.9370118
1879,6702.8053087
394,1499.93663827
1862,1291.7772672
360,141.309506813
1214,650.911992149
2651,1407.50982043
358,952.740431951
247,2994.08757034
569,839.077966448
2400,1115.64671389
482,2176.28386841
3703353,2352.91189613
13578571,1253.48673421
178,1397.28780203
375247,2106.64460844
778,4053.19370083
74662,8249.27249159
581,1971.19449452
8140,1276.07060337
282,491.545123772
5049,1446.06741233
9106,9506.730767
181,811.86488629
301937,7553.50683242
1535,1682.08400067
3883,1538.19083137
572,1698.23486819
2250,5921.32328576
436021,2463.88544495
680714,4807.86994883
395,1807.46457264
20609,3204.89422946
12436,2337.79353339
16148,5970.43281899
1852,340.382246538
1397,7795.21517795
126452,2660.14877912
1456,843.373904798
95,963.174291369
6599,1829.22973674
199,595.795386899
356,2820.70228891
2039,1399.18991165
105353,5198.23584607
177719,3583.10154353
263,1902.09747097
17033,9836.00588544
1103864,8871.57640154
5336,9282.28256621
4141,1726.41643723
11138,1707.04082475
505,4368.54007196
283,1425.23705479
182,2759.71977445
62954,9689.90219507
1620,9851.28770077
197,9785.18538125
294565,12474.8285242
10021281,2549.14734916
266508,8671.59658059
90770,5596.13868202
6931,1484.65659179
561631,5700.09873185
222,931.476289735
3287,651.302845419
354,2887.85243134
369,4445.34867009
586,3000.07787427
8385,1302.21070735
306,375.544412877
408,1925.94831241
7156,11455.9812125
853,2701.00585173
89769,4497.76318331
37955,5639.34963241
60090,1862.86917776
12755,2612.96040603
295,1225.22841091
463,3615.67166746
859,9483.6455963
1968,1897.02639163
10903907,8339.71198675
554,1800.42585913
1806,930.555753679
171,1053.21725896
769,8639.39109619
171,2410.04046465
2319,633.868061007
31560,2717.67184988
472,9441.78795391
95,503.660187479
942,706.184995041
806,2368.38005894
265,305.921489492
1109,4051.44600007
4727,6035.28415919
515,-6.42204237587
612,2598.99688731
20935,3680.65978726
1681,1514.85986424
521,8898.74647951
659,2103.71277539
81584,3132.53882048
5488,7830.80999099
3987,16401.556712
686,1047.8748307
2576,6793.25896243
32978,1996.68922845
1837,1976.90059947
4852,3465.60025938
188719,8596.36757064
149,4836.13286578
243521,2408.98946866
2951,5283.6667776
261,1853.41874641
312,1543.41012821
9387,13089.385986
648,1551.4106958
4594,1756.96267407
818,3214.85875004
1331,5922.13900929
6147,3109.6145684
110348,8333.16734453
