actual,predicted
2210,2953.37789979
11126121,2042.69835276
43842,3148.78337493
2049,1666.49011973
90177,2053.23876368
151665,3576.5772882
720,1898.19171582
613,1400.08299647
101,1482.52908535
236,2647.47464147
1275,2446.74438983
120474,2044.86807329
13078978,1848.80628849
44268,3204.17944864
358,1201.61124739
20848,2944.51401985
51617,4124.71851372
567,2750.65767456
295,1659.91860665
94,3046.06439916
778707,1752.34002669
178206,2771.24204118
520,1976.29697372
325,2936.65720532
4965,1140.054767
248913,2945.52179637
94117,2185.56492908
1384,2443.64009725
1582,2592.63701938
208,1697.57576302
1604,2040.1957541
549,2120.50635567
1110,1669.42064697
577,1600.07615143
12168,2285.72882676
1764,2775.14134476
97553,2711.19063713
573,1853.69600048
190420,1754.83194972
8435,1980.74803486
1117,2997.34871223
2553,2053.03248973
11660579,2224.59353659
1738,3114.10472519
128,776.464097028
1276,2778.37311739
15350,2974.38806887
4314,1232.17508801
190,2516.31453862
16534,2553.28996947
4228,1562.87646734
1737,2716.2197112
41547,1535.08650766
42053,2154.94252687
569,1876.65759711
44469,2575.949869
571,1848.65569113
1008,896.188537874
41817,2645.26346294
1822,1901.37967197
44300,2766.48080712
135,877.859601416
169624,2418.08346585
662,3791.840485
3029111,3248.67642278
179,1414.0635442
15376,2954.15432903
63674,2519.4440721
5079,1327.16397087
60544,1589.61050895
229,1543.07809014
5919,2807.00032407
80888,2462.90867782
276,1239.47227087
1426,1957.39645901
30989,2791.65720532
78524,2831.3992891
406,1758.93311027
207,2315.18678013
339274,2733.49724967
27930,1753.01480304
63704,2059.62930693
2040506,2707.971407
185151,3126.89704322
15023,1667.70947192
329,3098.59795933
6005,934.439448374
68525,4951.25865523
2560736,2812.23828581
669,2792.50436586
730,1694.6842032
2422,2102.82906751
241,1338.29803963
10466,3298.74305981
42162,3047.2137881
14917,1899.64788404
8202,3316.98941691
2481,1790.81370602
266,1416.23917122
783,2053.30075563
965,2388.50990997
541,329.733681922
1327,1491.1516863
36592,2452.22281744
83354,2367.77595153
939,1336.51832904
1650,2026.11888302
5667,3142.22910824
2159,2163.88551342
125,793.451150585
7568,4103.87988262
1441904,3132.75959179
415157,1936.74965837
738,2708.72336247
126832,2203.32232027
196,1037.33298253
56933,2455.60500109
1205,1142.40207445
730,2314.73994339
4660,2974.86775869
2655,3057.15636689
424554,1468.78773126
2890,3190.65720532
982,1897.18905789
94783,3522.49311558
636414,3471.37972069
14796203,2332.98260034
610,1634.75130658
568,2797.93275278
