actual,predicted
360,1768.07951558
204,1193.3414025
262977,3162.1139613
4299599,2709.4352547
261881,1545.74571699
2157508,3405.1326277
874,2904.35797768
759,2198.89323686
2075,3281.4817756
25981,2612.75370496
1479,2571.00580312
3661,2924.09253975
6666,2652.49414
401,2879.53398091
332,2359.03058205
2244,2410.57438734
1333,2974.67557597
518,2095.12718445
491,1396.97788576
366202,2449.54879198
4233,2000.27127449
362,2064.27950238
5390,2548.39921753
1826,1944.21953846
3753856,2062.21909401
6378,717.014050665
2954,2741.94944452
12903676,2444.88563713
343,2957.64927386
1474,2100.84526065
1129,1431.7146782
1956,1139.65362361
13985,2937.79589663
2690,2386.52296242
876605,2572.51727921
445084,1878.97568821
808,2452.75773938
3399,3575.50751154
3797,3597.98811949
2270,1348.15544383
62115,2022.70235099
1794,1220.97010496
546,662.426502676
1025,2130.33966408
793,1018.6638418
16606,3072.59928188
585,2226.65822558
861,2635.20456686
203,1314.99443745
158,1868.07152464
1325,2031.08281111
0,2940.90524992
576,421.23246715
15771648,2374.79616641
1449,2762.04415537
1004682,2344.39972087
84,2407.1839516
679,1385.28880123
192107,1681.62935639
178469,2269.23534477
265,2028.0351487
86,-174.48517905
670,690.850849338
159,1825.72447967
979,2906.35754041
59353,1809.91607675
2504,2342.59630303
267,1222.59535236
108309,4250.89593392
776,1718.35328466
827,1905.53480604
9366,1609.09466793
37122,2133.74713016
421,2699.64264894
7997,1537.89783635
347,2266.59053017
527,2835.84412084
377,2877.61317922
2735665,2694.18646189
93258,2813.21681216
641,1542.63075182
2228,2115.26897449
177,1761.79970453
19944,2776.70782759
564,1313.85454196
10976,879.808516398
317,1083.65712266
355,2856.8487391
1493043,1268.87317329
820,3441.13703112
539,1496.75824092
14171,1302.70292955
1663,2677.65720532
1636,1709.00090411
1685,4069.90354842
2209,1130.53552342
39639,3837.77566288
220,498.727022475
17594,2469.65654657
9667,1290.94771786
196903,3045.04637145
8929,3484.03105727
1856,1648.62012132
762,2836.80672447
1366766,3044.13313218
1893,2360.30680396
272928,2935.65720532
3872,3224.53412715
11049589,3512.51011546
1329,1798.02372169
17287,1814.25368248
641,1355.26828154
160,1879.19354533
71005,2685.82087148
619,1070.8607884
551,1941.97631361
5489,2149.77692983
2177,2340.27151093
604,680.284973891
20866,2650.82087148
492,1774.38416318
558,1894.2443593
672,1422.07524741
159,1845.7488629
886,2663.3582697
847,1833.42446315
2398,3551.71727798
257,2832.53245599
0,3285.46841417
22872,2673.16880888
905,3092.38268807
25334,1161.71746059
160280,3067.94642497
1408,1295.40562308
3870,1552.42611167
776,2551.3562978
30663,3420.63733177
907,2306.57937898
6517,2733.59329599
533,2723.39948994
263,1816.18437541
339,2088.18822669
167904,2702.82010222
327,1280.92580369
834,2681.16324264
246757,2180.38790077
4612,3368.58158997
1426,1618.64751326
728,1172.42652623
7038,976.471718595
2096,1103.28529573
1395,2389.54190092
3150,3066.11125837
1208,3414.6796518
1924,2798.63487473
236757,5186.33760622
100367,2136.59324299
34897,3663.02277974
3850,2134.85979162
52629259,5299.42108729
941,3171.2225562
513,2612.90417718
108953,2757.92601971
463,1775.30716358
11666,2637.12975906
2344,1430.13339233
503,987.886640438
1572,2865.49831707
1400,2204.503823
841,1964.03971763
802,1461.26071167
2078,2135.08505211
564,1325.81675179
3031874,2576.9206018
23533,2647.16258752
555,2064.38945605
9402139,2301.81540593
361,2696.6200034
616,2534.94552184
13546,2833.47491721
74853,2208.12532657
110057,2235.40240713
362,2875.23259647
1462,1981.44534213
730,3452.01204931
1166,1996.09732674
995,5375.80678778
1301,1493.84788788
515,1558.83560838
672,2411.02636722
306,819.110023497
270,1549.36977536
1965,1926.57912303
633,1344.83822897
197,2486.65529524
2257,2852.42873289
3203,1919.08169393
1870,2390.45599458
31126,2110.24148887
568,1976.49832057
19052,794.0843951
4630,2313.68705406
45152,2608.82486425
1451,2128.46089881
27279,2817.39392031
4545,1679.15111299
1084,1603.04594773
803,1408.70497111
307,1942.74181213
7748,1931.20592164
1078,1472.00626469
323454,3312.13871573
22525987,3778.23138436
57803,2775.36629673
264,826.116215524
2297,1785.28149506
1441,1920.69790283
254,966.708354443
317,2867.80820737
1526,1638.3556766
847,2496.22076046
167607,3446.21057125
23179,3942.63402724
649,1966.68124012
17463,2793.20545649
319,2003.63364763
15582195,2157.59160158
577,2089.45216576
60339,2279.64173405
625,1959.26581698
2406,2888.24467317
3148,2023.15363833
171769,3172.69896753
334482,3568.0629809
833,2573.82087148
9358,2243.85557196
34392,3354.75307944
1788,2288.64796877
31350,1902.04063293
95147,1282.20669435
159,1823.04924225
1224,1374.84086993
11146,2293.62747595
137,537.816172346
82301,1172.4204379
3247,1674.71776539
782356,2406.94767502
430418,2346.70609783
484,1364.07236848
34056,1814.42256418
1982,4615.89850214
295,2174.16389471
34704,2966.01946211
611,2703.76142199
251407,2547.69643609
355,2529.33868423
887322,1468.29934631
1145,2880.16956553
308,2679.53820781
431,2683.09537397
7767,3307.82239711
162345,2257.16389471
437,2140.71570065
23074292,2604.15274244
152,1092.92350607
239,1857.91945628
2045,2159.93184704
81,307.454783774
391,2046.58710431
3060,3203.57071233
12005,3282.24763484
191,1052.90775231
53934,2572.0987149
6347,2004.41409232
277,2629.73077003
1598,2523.1316164
141,2922.69547742
3790,3095.05120142
1566,1612.40338335
2249,1529.66171776
13676,2202.51088342
258,1972.9230379
947,2470.67633323
5234,1104.17986515
2130,1469.22328906
7113,3362.83437501
32576,2327.78452639
69348,2529.90198461
101006,3253.69822446
236,2042.25547813
162,2688.3409856
414,2496.84593051
55420,2779.69890759
40680,2990.09182094
32215,2558.1337848
2823,2820.12788215
4418,2948.55413844
857,2894.76912758
2827,343.003805815
6304,3416.78219451
178,1195.27847389
867,2911.81254357
1614,988.065897089
121,1588.07836855
1518,1690.52252238
132,3045.62606259
410,1320.30301909
19478,3281.46687531
3448857,2420.5595821
258650,2430.16612258
4884,2207.88526138
680,1673.80386914
60993,2689.56215308
70103,2949.19074431
12505,2171.8834988
607841,1851.84131739
908,1921.41652563
2262,1164.3157954
12508,3000.30254097
95838,1953.72315823
78,2560.69966783
894,3780.25240582
1934813,2020.71863191
970,2321.3825668
60275,1064.67991445
284,1790.79099142
1612213,4577.69029835
3070,2159.59053017
684,1484.40589193
56655,2951.30669066
23116,3468.53475608
1097,2133.12757901
232747,2376.15351507
258,2791.65720532
567,2387.58507423
1112427,3719.89879834
250330,2895.19779512
5805,3726.2994418
739796,1603.67408099
99,1002.58172989
684,797.529252561
618,1194.90428771
1821,1001.8884688
24091887,3592.07763639
28671,3127.39934895
395,2713.53398091
23070,2230.79002443
946,3061.69971972
14891,2847.88946321
16925,1770.83967709
1177,2895.10713645
409,1653.34301172
1219,3015.77602844
1804,1552.4883894
110,2294.0373806
1788,1811.30762541
8091,2018.81556736
757,2692.27791553
54425,3318.40673559
71019,2070.10092311
10120,2700.08066349
1518,956.938733498
35840,3191.32421595
1066,3576.70652509
783,1636.68099876
55837,1526.46905548
1115744,3063.50559536
491202,2888.91042527
7931,2859.84363573
184,1906.76674516
466193,2071.41095131
466,999.199847373
18270,2672.86458784
190,1634.2215136
928,3620.94616465
50934,1360.65051022
30481,1593.80627289
486,1844.48589754
77986,3242.7787704
3200,2704.33524476
4927,2571.96626829
7392,2234.76433604
80,1366.17491367
5664,2970.64044053
65119,1362.97252035
5579422,2435.78958154
344,1266.33361629
401,1505.91247666
1922,1171.22777837
3369,1908.94358169
158,2005.9684673
4784,3440.86246558
848,2462.10079762
969,2109.01063774
738,2359.5320776
105584,729.076677989
93,1899.21973518
2258,2621.61994712
109884,2129.81267993
12371,625.16901474
8627708,3943.90367844
9095,2739.36586488
436,627.348422473
448,1636.18065024
789,2345.31710462
831,2712.58336294
2815,2650.1947867
2245,1397.95697043
453,2832.36587334
498,1474.09396317
141,1497.73054142
1013,1362.17630359
89,2176.809915
30401,2412.54946681
760188,2737.31745779
1465,2020.57213288
76350,2872.47081972
1335,3153.41696222
92,1853.42074965
1178,2561.61994865
892,2714.35070081
60,3819.92386815
9677,2951.33390122
1289,1834.21196497
269,1010.34527312
575,2875.99580746
214,1367.06649005
957,1414.54130088
86336,976.111068186
327,1828.85244472
2009,700.67734216
34855,2594.51012158
15603,3035.43607628
282132,2647.32656651
136786,1816.14218995
2282,1362.45634074
614,1751.12790006
249,2170.43636041
1628,2728.16107876
142,1494.45907994
18427,2592.59959716
268561,2637.22985167
1231,1408.25538367
3796,831.92479592
932580,2795.65720532
390,1850.03845489
75790,3211.09844376
681,2189.59053017
199558,2093.60584053
206,2939.77419596
1496,2908.76210272
1446,2232.59053017
658,2585.96389165
233,1349.60632754
7472,2903.19145771
733,2031.54992558
43,1107.50402629
84387,2940.14535657
2376,2734.51588373
501,2806.67693246
884,1973.20098181
3264,1507.20189793
338,866.63632393
1872,2302.2508801
1801,1451.57219906
8180,2552.94044939
520,2556.9539777
408912,364.718231282
609,1773.76324174
478,1307.331084
64631,2769.8195061
1630080,3276.47994707
312,2386.35780306
4170,2611.73618568
721057,1747.48214487
1146,2177.39545065
1171,1669.7262908
4717,2124.22281744
3926,3206.56443762
4247,1624.47453624
360,1446.41750842
600,1849.57788019
40190,2635.9281964
1681,1542.21773469
2424,2854.91682424
474,2199.01603641
159249715,2799.1026428
31874,2144.8325831
225334,2657.53182609
137,2506.74298986
346,1451.41459556
161,3407.30060979
394,2863.22113716
86010,2351.37016748
797,2784.39392031
97898,3045.65720532
60466,3946.35950205
376240,3632.03252144
3880,1738.01663014
173430,3007.68891704
8949,3821.60698311
3930,2063.03058205
