actual,predicted
5359,3250.76424937
61507,1788.95883576
2030,2292.55640427
7339,1801.06405341
10425,3461.347796
61657,3423.0132368
571,2829.77023903
1486,1998.13763431
111067,3003.60694957
173,1848.10573705
86614,2708.95949782
41045,2748.80672447
4098,2448.29669082
10716,2831.7498511
769,1874.47141826
376,1674.95741661
12276,2791.70298456
136714,2379.15221598
445,3174.66107529
697,2673.11134124
352,2134.72363991
1671,2417.32708151
226,1282.7414396
624,1159.91653846
14315,2768.49878704
1646,2374.17803732
938009,1559.29862579
131466,1864.57845702
93,398.553678616
76466,2488.05576002
1305,2676.54648941
48528,2960.32702984
780,1960.45873877
835,2537.81046184
30753,3905.72986993
515,1970.79544732
1688,2466.34512904
121410,2766.86896784
607,1830.29272165
617,751.509634562
5654387,4435.55483066
526,2290.94454181
35759,3057.65720532
12841,2368.92463493
5141,2992.96123229
2467,2964.64924626
12655,3060.62638225
1491,1496.81575577
390,1798.51793175
1373,2357.10809007
30214,2615.65720532
49716,2834.49837204
681,1414.96667604
867,2053.03686957
1459,1571.88504045
1952,1719.38823066
496,1496.07413772
20142,3090.20569433
585,2302.03967302
63023,1322.64481206
508,1570.14495328
91824,2873.9593556
219,1772.40275999
9904,2441.75078609
692,1478.06807495
5277,2936.54071631
706,3071.62640604
2122,3564.11396389
31587,2204.1440144
2039,1181.92320683
26306,1928.64535675
8886,2732.88834713
183502,2108.07497874
1455,2936.81011214
1311348,2827.64192374
2161,2949.88941695
103,1480.34044365
1199,1315.19989319
11532,1512.11948529
2588,1971.52646688
0,2613.55297874
75,1220.25489678
2884,1355.31541621
6139,2179.81687324
36283247,2453.44289467
3323,1656.91027409
733,1992.99215597
3107,1398.8059433
84969,3543.76228657
1958,1216.05443769
0,2387.99511754
1177470,2442.82087148
17570,2379.31275629
1515,997.035531266
9052,1855.11272354
136,1749.28941438
4659,2722.87313537
3557,4223.43387997
294,1923.05842292
2486,2987.07568323
288,3162.6912977
6759,2398.59837708
617,1845.51351594
586,3120.25530386
13366,3025.66710418
20358,2522.63626344
257,1480.81959227
306,2545.90384444
366,311.316050604
1304,1166.74625378
5052,2493.55011328
1336,2995.5595091
126688,2598.29753473
3238,1974.05343413
2825,1910.57746626
142423,3330.56691389
233,2350.7971453
266,1695.33280581
225,1840.06166536
6103,2382.17672699
14053,2594.15474421
3250,2080.37602379
92525,2103.52260419
336,1570.9697572
1892,5119.51003415
231,2703.09475598
1657,2309.13545874
580,4150.34396811
429744,2463.80853563
245,2256.73431476
3997,1638.27073491
105051,2116.30384435
121,1714.79834362
16183,2858.48950544
251,1833.74600392
2341,2948.62211416
3239,1495.22874251
331,2778.78890204
2318,2833.81938376
79141,1719.27444181
3656,2428.71675134
88225148,2383.18370447
116,920.706840639
1558151,3416.65147615
1088,1201.68044205
4111252,3000.53968378
6079,1896.44111736
13303,2763.25823605
140,2857.01998968
6667,1832.96378723
553,1847.41472978
393,2221.59053017
80860,2605.25195268
22994,2804.99563665
13164,2899.65720532
499833,3259.23955958
2154,2795.33559976
590,1653.56156926
63158,2834.23615508
4504,352.827138025
815,1422.41065574
8225,2725.01098065
731,1680.3294351
3392,1675.06261326
17644,1746.14853548
935,1519.10206614
557,188.403279165
1111994,2259.04172798
1580,3199.69230715
