actual,predicted
3843,554196.585265
245343,364577.590084
1081,827279.413665
448,320590.459121
532,1734034.66066
7659,1193126.23628
197,476523.576211
187,1146174.02295
500,840251.771759
1516,71944.1254916
117,1230879.92422
668,693606.365804
264,342545.763625
83030,1835601.72768
88412,1199008.22501
1688,1838234.91771
900,593088.608699
507,748543.397063
125,1050260.0952
11113,126816.126976
7860,1773195.94659
216,411229.871701
6568,1482255.14263
764646,968047.338937
2475,1459737.63111
4081,276574.01755
608,226214.929938
1987,-90390.2262755
931425,-509936.535751
13309,1702925.54126
49400,908871.897312
404,205829.583843
147561,265002.246643
893,1700786.30532
301,401269.915303
3448,-114285.219791
547,-248144.555331
561,445358.626883
492,656898.526635
7591,-24856.6174743
2915216,1507321.72585
1418,486225.891094
2114,2233635.79137
34769,330574.465187
37997,1774971.10623
885,939998.091351
632,316435.18327
657,399701.766784
23486,1532411.44894
77673,344517.711051
613,1742556.70804
892,512678.585017
43356,1703389.50076
88460,917616.626332
99340,256561.661208
4042,-228860.098648
3006,1746611.50909
1851,844530.297167
941,938750.095986
153,295102.43802
31443,370822.372794
572,207058.679936
12366,653843.453609
417,69378.6559277
6986,1441133.79577
21720,935993.454542
9411,230622.407141
296,2086906.18305
951,503576.848937
27893,1640385.73981
110,237132.532417
368,1048594.69863
12848,1412449.68579
823,785850.901481
10549,341151.629439
73741,735042.105359
184483,310108.006846
1156,1062052.96385
52537,41888.7065427
5248171,3819873.75092
401,569430.196146
986,1048252.65235
5205,174514.62477
74,146886.495261
3053,351666.480373
31477,2692150.94768
85230,334082.988865
342,839336.574519
27882008,1738803.62068
842,353981.626867
144,406686.993697
20000,89234.4914577
299,570198.321029
65627,410602.714349
683248,565756.171079
3447,880634.48925
2596,1365977.58552
1064,917039.274047
225,133734.287213
49249,2799032.80819
18707,2105663.65729
2214826,1877154.67943
210854,1156917.63358
2351,-157771.670807
414,741032.621491
5462,519886.038827
149,493338.270617
335,793915.551841
1273,804429.541557
311,-1152.11374746
1858,-229423.821024
55163,751033.616446
2061,684090.58584
14375,1051013.39342
613,-107069.694625
1457,216502.733803
782,1225383.63062
171,407582.089491
333,144360.099492
70650,1485983.03919
458,606904.845996
543,695262.306824
217,706396.123006
992,465323.839009
172,1465030.60495
6124,582351.553565
250241,958986.897124
254,190277.123236
4585,251046.866674
412,421999.42365
474,1563880.01892
489,1887221.26106
44972,362107.506073
2990,-126588.057988
3689,367454.669877
3515,439521.039774
834,1631950.55016
280,722239.136995
176,1067152.81592
